0.438,0.899,0.456,2.000
0.473,0.855,0.471,2.000
0.409,0.928,0.469,2.000
0.408,0.875,0.523,2.000
0.522,0.821,0.468,1.000
0.440,0.893,0.464,2.000
0.410,0.930,0.470,2.000
0.468,0.874,0.466,2.000
0.412,0.938,0.470,2.000
0.404,0.919,0.460,2.000
0.405,0.923,0.462,2.000
0.456,0.890,0.461,2.000
0.451,0.878,0.461,2.000
0.430,0.859,0.505,2.000
0.490,0.858,0.466,2.000
0.405,0.912,0.463,2.000
0.473,0.852,0.485,2.000
0.472,0.850,0.486,2.000
0.429,0.902,0.465,2.000
0.452,0.877,0.463,2.000
0.472,0.823,0.522,0.000
0.473,0.854,0.458,2.000
0.439,0.883,0.465,2.000
0.486,0.832,0.489,0.000
0.450,0.858,0.493,2.000
0.445,0.848,0.510,0.000
0.404,0.935,0.458,2.000
0.401,0.923,0.465,2.000
0.464,0.847,0.479,2.000
0.438,0.821,0.532,0.000
0.435,0.815,0.553,0.000
0.494,0.837,0.458,2.000
0.439,0.822,0.530,0.000
0.505,0.830,0.464,1.000
0.500,0.718,0.568,0.000
0.459,0.844,0.495,0.000
0.517,0.826,0.445,1.000
0.432,0.879,0.476,2.000
0.399,0.912,0.464,2.000
0.454,0.814,0.525,0.000
0.398,0.811,0.568,0.000
0.467,0.815,0.509,0.000
0.466,0.866,0.463,2.000
0.431,0.887,0.465,2.000
0.473,0.832,0.484,0.000
0.447,0.815,0.515,0.000
0.389,0.871,0.461,2.000
0.405,0.851,0.487,2.000
0.475,0.816,0.509,0.000
0.451,0.815,0.522,0.000
0.455,0.816,0.517,0.000
0.461,0.810,0.517,0.000
0.440,0.854,0.499,2.000
0.499,0.838,0.463,2.000
0.532,0.746,0.526,0.000
0.486,0.771,0.536,0.000
0.413,0.924,0.477,2.000
0.398,0.853,0.535,0.000
0.540,0.827,0.451,1.000
0.453,0.921,0.452,2.000
0.478,0.893,0.451,2.000
0.462,0.813,0.529,0.000
0.457,0.843,0.492,2.000
0.444,0.916,0.460,2.000
0.406,0.855,0.538,0.000
0.409,0.948,0.449,2.000
0.424,0.888,0.501,2.000
0.406,0.947,0.449,2.000
0.415,0.910,0.491,2.000
0.538,0.768,0.496,1.000
0.418,0.897,0.509,2.000
0.469,0.877,0.470,2.000
0.412,0.888,0.509,2.000
0.405,0.950,0.437,2.000
0.472,0.881,0.466,2.000
0.445,0.877,0.491,2.000
0.530,0.789,0.467,1.000
0.405,0.921,0.459,2.000
0.489,0.880,0.456,2.000
0.475,0.837,0.501,0.000
0.482,0.794,0.522,0.000
